PedidoID,DataPedido,ClienteID,NomeCliente,Cidade,UF,Latitude,Longitude,Produto,CategoriaProduto,Quantidade,ValorUnitario,Transportadora,DataEnvio,DataEntregaPrevista,DataEntregaReal,StatusEntrega,CustoFrete,DistanciaKM,AvaliacaoCliente,CodigoRastreio,PesoKG,TipoTransporte,PrioridadeEntrega,StatusPagamento,DataPagamento
1013,2025-01-28,C278,SIMONE CARDOSO,BRASÍLIA,DF,-15.8267,-47.9218,MOCHILA ESCOLAR,ACESSÓRIOS,2,149.9,NORDESTE RÁPIDO,2025-01-30,2025-02-02,2025-02-02,Entregue com atraso,55.01,1258,5,PXSDZBVYEE0R,23.74,Aéreo,Normal,Pendente,
1014,2025-01-08,C169,DIEGO ARAÚJO,BOA VISTA,RR,2.8197,-60.6733,CHUTEIRA PRO,VESTUÁRIO,3,349.9,RÁPIDO EXPRESS,2025-01-11,2025-01-17,2025-01-19,Em trânsito,71.65,1694,5,D483DDMEM0HJ,18.71,Aéreo,Normal,Estornado,
1015,2025-01-08,C513,SIMONE CARDOSO,CAMPO GRANDE,MS,-20.4697,-54.6201,CHUTEIRA PRO,VESTUÁRIO,1,349.9,AMAZÔNIA CARGO,2025-01-11,2025-01-14,2025-01-16,Em trânsito,29.76,2364,4,Z557XO2MSUXB,22.21,Aéreo,Normal,Pago,2025-01-10
1016,2025-02-02,C560,ANDRÉ SOUZA,CURITIBA,PR,-25.4284,-49.2733,TECLADO MECÂNICO,ELETRÔNICOS,2,299.9,NORTE EXPRESS,2025-02-04,2025-02-10,2025-02-12,Entregue com atraso,19.06,2117,4,4IRBTBRLZQFA,12.24,Rodoviário,Econômica,Estornado,
1017,2025-01-07,C226,PAULO HENRIQUE,FEIRA DE SANTANA,BA,-12.2667,-38.9667,NOTEBOOK PRO 15,ELETRÔNICOS,1,4999.0,RÁPIDO EXPRESS,2025-01-10,2025-01-17,2025-01-17,Entregue com atraso,49.57,1483,5,ZV67S2R8EBDM,15.75,Marítimo,Normal,Estornado,
1018,2025-01-26,C223,PATRÍCIA GOMES,PETROLINA,PE,-9.3891,-40.5033,AR CONDICIONADO,ELETRODOMÉSTICOS,3,1899.0,NORTE EXPRESS,2025-01-29,2025-02-05,2025-02-07,Entregue com atraso,21.28,2072,4,CYEA4EOIYSQ2,2.11,Marítimo,Econômica,Estornado,
1019,2025-02-13,C680,CLÁUDIA TEIXEIRA,FEIRA DE SANTANA,BA,-12.2667,-38.9667,CAMISETA POLO,VESTUÁRIO,1,79.9,SUL CARGO,2025-02-15,2025-02-18,2025-02-18,Cancelado,24.3,743,5,FHGH9C3YEZLA,20.31,Marítimo,Econômica,Pago,2025-02-15
1020,2025-01-09,C587,RENATA LIMA,CAMPO GRANDE,MS,-20.4697,-54.6201,FONE BLUETOOTH,ELETRÔNICOS,3,199.9,ENTREGA CERTA,2025-01-10,2025-01-13,2025-01-13,Em trânsito,20.24,941,4,ABV2FZTVLH8I,25.14,Marítimo,Normal,Pago,2025-01-09
1021,2025-02-06,C992,SIMONE CARDOSO,ARACAJU,SE,-10.9472,-37.0731,AR CONDICIONADO,ELETRODOMÉSTICOS,2,1899.0,AMAZÔNIA CARGO,2025-02-07,2025-02-09,2025-02-09,Entregue no prazo,23.25,2947,2,LB1DS1BM1C28,24.67,Marítimo,Urgente,Estornado,
1022,2025-02-26,C693,SIMONE CARDOSO,FORTALEZA,CE,-3.7319,-38.5267,RELÓGIO DIGITAL,ACESSÓRIOS,1,199.9,NORDESTE RÁPIDO,2025-03-01,2025-03-06,2025-03-06,Em trânsito,75.6,3293,5,31B00POPEUEX,24.0,Rodoviário,Normal,Pago,2025-02-26
1023,2025-02-06,C744,DIEGO ARAÚJO,PETROLINA,PE,-9.3891,-40.5033,CAFETEIRA PLUS,ELETRODOMÉSTICOS,1,349.9,ENTREGA CERTA,2025-02-09,2025-02-11,2025-02-13,Cancelado,37.64,839,4,U8ZOAO3CDD7A,7.12,Marítimo,Normal,Estornado,
1024,2025-02-11,C799,MARIA SANTOS,MANAUS,AM,-3.119,-60.0217,CAMISETA POLO,VESTUÁRIO,2,79.9,NORTE EXPRESS,2025-02-12,2025-02-18,2025-02-18,Cancelado,22.32,2611,5,NFPWGJ8DF9Y8,7.4,Aéreo,Normal,Estornado,
1025,2025-01-19,C932,RENATA LIMA,CAMPINAS,SP,-22.9056,-47.0608,JAQUETA COURO,VESTUÁRIO,3,599.9,ENTREGA CERTA,2025-01-21,2025-01-24,2025-01-25,Entregue com atraso,79.7,1976,4,03K1UR9QKSGM,21.45,Aéreo,Econômica,Pendente,
1026,2025-02-06,C230,MARCOS SILVA,PORTO VELHO,RO,-8.7619,-63.9039,JAQUETA COURO,VESTUÁRIO,2,599.9,AMAZÔNIA CARGO,2025-02-07,2025-02-13,2025-02-14,Em trânsito,65.9,2147,2,XPX150MEM1S9,23.82,Rodoviário,Normal,Pendente,
1027,2025-02-24,C945,MARCOS SILVA,PORTO ALEGRE,RS,-30.0346,-51.2177,MOCHILA ESCOLAR,ACESSÓRIOS,3,149.9,BRASIL LOGÍSTICA,2025-02-27,2025-03-03,2025-03-03,Em trânsito,39.53,1714,3,6C7V9SUGNKU7,27.76,Marítimo,Normal,Pendente,
1028,2025-02-20,C063,FERNANDA ROCHA,GOIÂNIA,GO,-16.6869,-49.2648,SMARTPHONE X200,ELETRÔNICOS,2,1899.9,RÁPIDO EXPRESS,2025-02-22,2025-02-27,2025-03-01,Em trânsito,16.15,1981,2,IBYL8GV0SY6V,23.76,Rodoviário,Normal,Pago,2025-02-25
1029,2025-01-03,C728,MARIA SANTOS,PORTO VELHO,RO,-8.7619,-63.9039,LIQUIDIFICADOR X,ELETRODOMÉSTICOS,3,249.9,RÁPIDO EXPRESS,2025-01-04,2025-01-06,2025-01-06,Entregue no prazo,47.62,868,3,ZDGXBG1M33TZ,29.55,Marítimo,Econômica,Estornado,
1030,2025-02-16,C128,RENATA LIMA,RIO DE JANEIRO,RJ,-22.9068,-43.1729,MOUSE GAMER,ELETRÔNICOS,3,159.9,AMAZÔNIA CARGO,2025-02-18,2025-02-24,2025-02-24,Entregue com atraso,49.81,3054,3,1211M72IMGAX,12.11,Rodoviário,Normal,Pago,2025-02-19
1031,2025-02-05,C932,THIAGO FERNANDES,PORTO ALEGRE,RS,-30.0346,-51.2177,"SMART TV 50""",ELETRÔNICOS,2,2599.0,NORDESTE RÁPIDO,2025-02-07,2025-02-09,2025-02-10,Entregue no prazo,25.85,838,4,TWBCL3RMNLW7,16.38,Rodoviário,Econômica,Pago,2025-02-06
1032,2025-02-21,C355,MARIA SANTOS,PORTO ALEGRE,RS,-30.0346,-51.2177,TECLADO MECÂNICO,ELETRÔNICOS,2,299.9,SUL CARGO,2025-02-24,2025-03-02,2025-03-02,Entregue com atraso,59.43,400,1,58U28FGQL30V,15.25,Rodoviário,Econômica,Pendente,
1033,2025-02-12,C923,MARIA SANTOS,BOA VISTA,RR,2.8197,-60.6733,"SMART TV 50""",ELETRÔNICOS,3,2599.0,NORDESTE RÁPIDO,2025-02-15,2025-02-19,2025-02-20,Cancelado,71.14,116,5,6NO94KOI7S24,13.31,Rodoviário,Econômica,Estornado,
1034,2025-01-13,C285,THIAGO FERNANDES,CAMPO GRANDE,MS,-20.4697,-54.6201,"SMART TV 50""",ELETRÔNICOS,1,2599.0,RÁPIDO EXPRESS,2025-01-16,2025-01-23,2025-01-23,Em trânsito,58.56,246,1,MLB2G2QJ0QDL,11.39,Rodoviário,Econômica,Pendente,
1035,2025-01-27,C562,PEDRO OLIVEIRA,VITÓRIA,ES,-20.3155,-40.3128,SMARTPHONE X200,ELETRÔNICOS,1,1899.9,NORTE EXPRESS,2025-01-30,2025-02-04,2025-02-06,Cancelado,74.83,308,5,1AHLAHCF2MU0,3.02,Aéreo,Econômica,Pendente,
1036,2025-01-05,C401,JULIANA BARBOSA,FLORIANÓPOLIS,SC,-27.5954,-48.548,MOUSE GAMER,ELETRÔNICOS,2,159.9,AMAZÔNIA CARGO,2025-01-08,2025-01-11,2025-01-11,Entregue com atraso,21.98,899,2,736O90GYTRHW,13.61,Marítimo,Econômica,Estornado,
1037,2025-01-16,C074,PATRÍCIA GOMES,MANAUS,AM,-3.119,-60.0217,PANELA ELÉTRICA,ELETRODOMÉSTICOS,2,299.9,SUL CARGO,2025-01-18,2025-01-20,2025-01-20,Entregue com atraso,64.57,1984,1,VL24X0YV6OTG,9.77,Aéreo,Urgente,Pago,2025-01-17
1038,2025-01-10,C210,CLÁUDIA TEIXEIRA,MACEIÓ,AL,-9.6498,-35.7089,SMARTWATCH FIT,ACESSÓRIOS,2,499.9,ENTREGA CERTA,2025-01-12,2025-01-17,2025-01-17,Entregue com atraso,62.69,3285,2,0N357PNRH3AO,21.21,Marítimo,Econômica,Pendente,
1039,2025-02-22,C120,ANA COSTA,NATAL,RN,-5.7945,-35.211,PANELA ELÉTRICA,ELETRODOMÉSTICOS,1,299.9,BRASIL LOGÍSTICA,2025-02-25,2025-02-28,2025-03-01,Entregue no prazo,40.57,2664,2,P33UV4VS9LYY,27.86,Marítimo,Normal,Estornado,
1040,2025-02-09,C028,ANDRÉ SOUZA,FORTALEZA,CE,-3.7319,-38.5267,LIQUIDIFICADOR X,ELETRODOMÉSTICOS,2,249.9,CENTRO-OESTE CARGO,2025-02-11,2025-02-15,2025-02-16,Entregue com atraso,54.1,2719,5,GE2AOAPPWQWI,17.26,Aéreo,Normal,Pendente,
1041,2025-02-01,C257,BEATRIZ NUNES,RIO DE JANEIRO,RJ,-22.9068,-43.1729,FONE BLUETOOTH,ELETRÔNICOS,2,199.9,NORTE EXPRESS,2025-02-02,2025-02-07,2025-02-07,Entregue com atraso,52.37,762,5,UMC7FWX58XX1,6.89,Rodoviário,Urgente,Pendente,
1042,2025-01-08,C252,PEDRO OLIVEIRA,NATAL,RN,-5.7945,-35.211,LIQUIDIFICADOR X,ELETRODOMÉSTICOS,1,249.9,AMAZÔNIA CARGO,2025-01-11,2025-01-15,2025-01-16,Em trânsito,43.05,3134,4,OFPIPAQ7FGFR,28.44,Aéreo,Urgente,Estornado,
1043,2025-02-13,C917,CARLA MENDES,PORTO VELHO,RO,-8.7619,-63.9039,AR CONDICIONADO,ELETRODOMÉSTICOS,2,1899.0,ENTREGA CERTA,2025-02-15,2025-02-18,2025-02-18,Entregue no prazo,27.65,1062,1,ZJIHF19ORT4T,7.64,Rodoviário,Normal,Pendente,
1044,2025-01-05,C280,ANA COSTA,BELO HORIZONTE,MG,-19.9167,-43.9345,RELÓGIO DIGITAL,ACESSÓRIOS,1,199.9,CENTRO-OESTE CARGO,2025-01-07,2025-01-11,2025-01-13,Em trânsito,32.33,102,3,51EN4WY7R1SW,15.19,Marítimo,Normal,Estornado,
1045,2025-01-18,C610,ANA COSTA,BOA VISTA,RR,2.8197,-60.6733,SMARTPHONE X200,ELETRÔNICOS,2,1899.9,CENTRO-OESTE CARGO,2025-01-21,2025-01-26,2025-01-27,Entregue no prazo,26.45,2877,3,K6PJSCUYSLHP,29.37,Rodoviário,Econômica,Pago,2025-01-20
1046,2025-01-15,C758,BEATRIZ NUNES,PETROLINA,PE,-9.3891,-40.5033,SMARTPHONE X200,ELETRÔNICOS,2,1899.9,BRASIL LOGÍSTICA,2025-01-18,2025-01-25,2025-01-26,Entregue no prazo,34.39,3024,3,ZADTPB2I5AJD,28.96,Aéreo,Urgente,Estornado,
1047,2025-01-09,C435,PEDRO OLIVEIRA,FLORIANÓPOLIS,SC,-27.5954,-48.548,TECLADO MECÂNICO,ELETRÔNICOS,2,299.9,ENTREGA CERTA,2025-01-11,2025-01-14,2025-01-15,Entregue com atraso,77.21,2078,2,ABN00K01H2B8,1.65,Rodoviário,Econômica,Pendente,
1048,2025-02-19,C232,MARIA SANTOS,CARUARU,PE,-8.2846,-35.9699,CHUTEIRA PRO,VESTUÁRIO,1,349.9,SUL CARGO,2025-02-20,2025-02-27,2025-02-28,Em trânsito,62.71,2757,2,IZCDCN3SNYYU,16.1,Aéreo,Normal,Estornado,
1049,2025-01-05,C285,THIAGO FERNANDES,FLORIANÓPOLIS,SC,-27.5954,-48.548,SMARTWATCH FIT,ACESSÓRIOS,3,499.9,ENTREGA CERTA,2025-01-06,2025-01-13,2025-01-13,Entregue com atraso,29.45,563,5,XO5VYCD83R0X,26.53,Marítimo,Normal,Estornado,
1050,2025-01-31,C898,CARLA MENDES,MACAPÁ,AP,0.0349,-51.0694,SMARTPHONE X200,ELETRÔNICOS,1,1899.9,ENTREGA CERTA,2025-02-03,2025-02-10,2025-02-10,Entregue com atraso,34.12,3415,5,3YEZ55XFZE14,19.46,Rodoviário,Econômica,Pago,2025-02-01
1051,2025-02-16,C632,BEATRIZ NUNES,PORTO VELHO,RO,-8.7619,-63.9039,JAQUETA COURO,VESTUÁRIO,2,599.9,CENTRO-OESTE CARGO,2025-02-19,2025-02-24,2025-02-24,Entregue no prazo,44.42,3391,2,MWL3QQ8OGFHM,8.82,Aéreo,Urgente,Pago,2025-02-16
1052,2025-02-22,C044,THIAGO FERNANDES,TERESINA,PI,-5.0919,-42.8034,CHUTEIRA PRO,VESTUÁRIO,1,349.9,SUL CARGO,2025-02-25,2025-03-01,2025-03-01,Entregue no prazo,24.36,328,3,60P1R4DCSG1S,13.94,Aéreo,Econômica,Pendente,
1053,2025-02-21,C947,JOÃO ALMEIDA,RECIFE,PE,-8.0476,-34.877,SMARTPHONE X200,ELETRÔNICOS,3,1899.9,CENTRO-OESTE CARGO,2025-02-24,2025-03-02,2025-03-02,Entregue no prazo,66.98,2588,1,70BMY2FYO15A,6.54,Aéreo,Normal,Estornado,
1054,2025-02-09,C678,MARIA SANTOS,PALMAS,TO,-10.184,-48.3336,HD EXTERNO 1TB,ELETRÔNICOS,3,349.9,CENTRO-OESTE CARGO,2025-02-12,2025-02-19,2025-02-19,Entregue com atraso,50.0,671,5,KSFVG4FVN2GE,8.81,Marítimo,Normal,Pendente,
1055,2025-01-04,C260,BRUNO LIMA,NATAL,RN,-5.7945,-35.211,JAQUETA COURO,VESTUÁRIO,2,599.9,RÁPIDO EXPRESS,2025-01-06,2025-01-11,2025-01-11,Cancelado,67.32,384,4,4HHXYKW68AA5,10.72,Aéreo,Normal,Estornado,
1056,2025-01-23,C159,PEDRO OLIVEIRA,JOÃO PESSOA,PB,-7.115,-34.8641,LIQUIDIFICADOR X,ELETRODOMÉSTICOS,1,249.9,AMAZÔNIA CARGO,2025-01-24,2025-01-29,2025-01-31,Cancelado,40.21,1906,1,BKF3ASXU1OKB,7.44,Marítimo,Normal,Pendente,
1057,2025-02-08,C829,THIAGO FERNANDES,CURITIBA,PR,-25.4284,-49.2733,LIQUIDIFICADOR X,ELETRODOMÉSTICOS,1,249.9,NORTE EXPRESS,2025-02-09,2025-02-12,2025-02-12,Entregue no prazo,33.28,990,5,RVM11APJ8U7S,29.78,Rodoviário,Normal,Pendente,
1058,2025-03-01,C159,PAULO HENRIQUE,BELÉM,PA,-1.4558,-48.4902,HD EXTERNO 1TB,ELETRÔNICOS,3,349.9,NORDESTE RÁPIDO,2025-03-02,2025-03-09,2025-03-10,Cancelado,57.32,2263,5,QUBELPL4PD3I,20.55,Aéreo,Econômica,Estornado,
1059,2025-01-23,C644,LUCAS PEREIRA,CARUARU,PE,-8.2846,-35.9699,SMARTWATCH FIT,ACESSÓRIOS,1,499.9,ENTREGA CERTA,2025-01-26,2025-01-30,2025-01-31,Entregue com atraso,44.03,1930,2,T1QCCOROWG53,18.35,Rodoviário,Urgente,Pago,2025-01-25
1060,2025-03-02,C805,SIMONE CARDOSO,SALVADOR,BA,-12.9777,-38.5016,NOTEBOOK PRO 15,ELETRÔNICOS,2,4999.0,RÁPIDO EXPRESS,2025-03-04,2025-03-08,2025-03-09,Cancelado,21.47,965,1,KAD0IRJX0P6L,21.33,Marítimo,Normal,Pendente,
1061,2025-02-04,C243,PAULO HENRIQUE,BOA VISTA,RR,2.8197,-60.6733,TABLET Z10,ELETRÔNICOS,1,1299.9,RÁPIDO EXPRESS,2025-02-05,2025-02-11,2025-02-11,Entregue com atraso,28.4,612,5,1C960X4V9UR6,2.52,Marítimo,Normal,Estornado,
1062,2025-02-07,C903,MARIA SANTOS,SÃO LUÍS,MA,-2.5387,-44.2825,AR CONDICIONADO,ELETRODOMÉSTICOS,3,1899.0,AMAZÔNIA CARGO,2025-02-09,2025-02-12,2025-02-13,Entregue com atraso,66.94,1310,3,B5BLOG8SNF84,2.19,Aéreo,Normal,Pendente,
1063,2025-01-13,C680,PAULO HENRIQUE,VITÓRIA DA CONQUISTA,BA,-14.8619,-40.8442,FONE BLUETOOTH,ELETRÔNICOS,3,199.9,ENTREGA CERTA,2025-01-14,2025-01-17,2025-01-17,Entregue no prazo,78.02,1068,1,LUAKR7VY52L5,19.18,Rodoviário,Normal,Pendente,
1064,2025-01-13,C684,PEDRO OLIVEIRA,BELO HORIZONTE,MG,-19.9167,-43.9345,CHUTEIRA PRO,VESTUÁRIO,1,349.9,BRASIL LOGÍSTICA,2025-01-14,2025-01-20,2025-01-20,Entregue no prazo,33.19,2403,1,BVDFKJ0RI0IP,19.97,Rodoviário,Urgente,Pago,2025-01-15
1065,2025-01-03,C698,LUCAS PEREIRA,ARACAJU,SE,-10.9472,-37.0731,MOCHILA ESCOLAR,ACESSÓRIOS,1,149.9,ENTREGA CERTA,2025-01-06,2025-01-11,2025-01-11,Entregue com atraso,47.41,1352,2,D8JGAAJ6UXNC,1.47,Rodoviário,Econômica,Pago,2025-01-03
1066,2025-02-04,C927,THIAGO FERNANDES,BRASÍLIA,DF,-15.8267,-47.9218,CHUTEIRA PRO,VESTUÁRIO,3,349.9,AMAZÔNIA CARGO,2025-02-05,2025-02-12,2025-02-12,Em trânsito,50.73,2637,1,UBYGF35IYHNR,16.86,Rodoviário,Econômica,Pago,2025-02-09
1067,2025-01-06,C451,JULIANA BARBOSA,MANAUS,AM,-3.119,-60.0217,MOUSE GAMER,ELETRÔNICOS,1,159.9,RÁPIDO EXPRESS,2025-01-09,2025-01-15,2025-01-15,Em trânsito,41.1,1469,2,IMI6MV470DNA,11.1,Rodoviário,Normal,Estornado,
1068,2025-02-07,C106,BEATRIZ NUNES,BOA VISTA,RR,2.8197,-60.6733,SMARTPHONE X200,ELETRÔNICOS,3,1899.9,ENTREGA CERTA,2025-02-08,2025-02-14,2025-02-14,Entregue com atraso,19.89,1059,4,S3FDXNFWSXKQ,29.07,Aéreo,Econômica,Pago,2025-02-09
1069,2025-02-01,C786,RENATA LIMA,CAMPINAS,SP,-22.9056,-47.0608,CAMISETA POLO,VESTUÁRIO,2,79.9,SUL CARGO,2025-02-02,2025-02-05,2025-02-07,Em trânsito,56.37,2690,2,ZOWPV5W2WA1S,5.47,Rodoviário,Urgente,Pendente,
1070,2025-01-15,C300,PAULO HENRIQUE,GOIÂNIA,GO,-16.6869,-49.2648,SMARTWATCH FIT,ACESSÓRIOS,1,499.9,ENTREGA CERTA,2025-01-16,2025-01-22,2025-01-22,Em trânsito,25.45,2519,3,85MUKB31F1OO,21.09,Rodoviário,Urgente,Estornado,
1071,2025-02-13,C167,JOÃO ALMEIDA,MACAPÁ,AP,0.0349,-51.0694,AR CONDICIONADO,ELETRODOMÉSTICOS,2,1899.0,AMAZÔNIA CARGO,2025-02-16,2025-02-19,2025-02-19,Entregue com atraso,79.73,2958,4,WEP4HGX19E55,23.85,Rodoviário,Normal,Pago,2025-02-13
1072,2025-01-20,C612,CARLA MENDES,BRASÍLIA,DF,-15.8267,-47.9218,IMPRESSORA LASER,ELETRÔNICOS,1,899.9,RÁPIDO EXPRESS,2025-01-22,2025-01-24,2025-01-24,Em trânsito,37.13,1283,1,2K73DJRGVQCO,17.18,Marítimo,Urgente,Pendente,
1073,2025-01-07,C396,SIMONE CARDOSO,BELO HORIZONTE,MG,-19.9167,-43.9345,MOUSE GAMER,ELETRÔNICOS,3,159.9,RÁPIDO EXPRESS,2025-01-10,2025-01-13,2025-01-13,Cancelado,23.04,1221,2,REXJ8VF12OD9,26.11,Rodoviário,Econômica,Estornado,
1074,2025-02-05,C181,FERNANDA ROCHA,PORTO ALEGRE,RS,-30.0346,-51.2177,TABLET Z10,ELETRÔNICOS,3,1299.9,AMAZÔNIA CARGO,2025-02-06,2025-02-08,2025-02-10,Entregue no prazo,33.86,2293,2,MM00NDTU6VKG,16.28,Aéreo,Econômica,Estornado,
1075,2025-02-25,C393,SIMONE CARDOSO,CAMPINAS,SP,-22.9056,-47.0608,FONE BLUETOOTH,ELETRÔNICOS,1,199.9,ENTREGA CERTA,2025-02-28,2025-03-04,2025-03-04,Entregue no prazo,25.03,773,5,Y88FT3JC4AAJ,24.21,Marítimo,Normal,Pago,2025-02-26
1076,2025-01-20,C508,MARCOS SILVA,BOA VISTA,RR,2.8197,-60.6733,CHUTEIRA PRO,VESTUÁRIO,1,349.9,BRASIL LOGÍSTICA,2025-01-21,2025-01-24,2025-01-24,Entregue com atraso,29.42,1414,5,N8B3W8ZPWFT0,26.54,Marítimo,Normal,Estornado,
1077,2025-01-06,C534,DIEGO ARAÚJO,CAMPINAS,SP,-22.9056,-47.0608,MOCHILA ESCOLAR,ACESSÓRIOS,1,149.9,NORTE EXPRESS,2025-01-09,2025-01-15,2025-01-15,Entregue com atraso,45.91,2600,2,M2UW35EXPXOE,5.95,Marítimo,Normal,Estornado,
1078,2025-01-31,C317,RAFAEL MARTINS,FEIRA DE SANTANA,BA,-12.2667,-38.9667,RELÓGIO DIGITAL,ACESSÓRIOS,1,199.9,RÁPIDO EXPRESS,2025-02-02,2025-02-04,2025-02-04,Cancelado,31.94,2752,4,5HWX0Z2CDGV2,11.08,Marítimo,Urgente,Pendente,
1079,2025-01-17,C642,RENATA LIMA,CAMPINAS,SP,-22.9056,-47.0608,SMARTWATCH FIT,ACESSÓRIOS,1,499.9,AMAZÔNIA CARGO,2025-01-20,2025-01-23,2025-01-23,Entregue no prazo,38.4,2509,5,JLCRXY5R89SX,26.98,Rodoviário,Urgente,Estornado,
1080,2025-01-25,C804,THIAGO FERNANDES,MANAUS,AM,-3.119,-60.0217,SMARTWATCH FIT,ACESSÓRIOS,1,499.9,RÁPIDO EXPRESS,2025-01-28,2025-02-03,2025-02-04,Entregue com atraso,26.28,1610,5,HXKA2ANXZOD6,19.28,Aéreo,Urgente,Pago,2025-01-25
1081,2025-02-10,C573,SIMONE CARDOSO,RIO DE JANEIRO,RJ,-22.9068,-43.1729,"SMART TV 50""",ELETRÔNICOS,2,2599.0,RÁPIDO EXPRESS,2025-02-12,2025-02-19,2025-02-20,Em trânsito,60.8,630,2,2VX69N25W2TX,29.94,Marítimo,Econômica,Pago,2025-02-15
1082,2025-03-01,C726,CLÁUDIA TEIXEIRA,FORTALEZA,CE,-3.7319,-38.5267,PANELA ELÉTRICA,ELETRODOMÉSTICOS,2,299.9,ENTREGA CERTA,2025-03-03,2025-03-10,2025-03-10,Entregue no prazo,53.63,325,3,J6M7JNX0C7KY,2.01,Aéreo,Econômica,Pago,2025-03-03
1083,2025-01-26,C433,CLÁUDIA TEIXEIRA,SÃO LUÍS,MA,-2.5387,-44.2825,FONE BLUETOOTH,ELETRÔNICOS,3,199.9,BRASIL LOGÍSTICA,2025-01-29,2025-02-01,2025-02-03,Entregue com atraso,29.22,3215,3,VBZZQ1Y8XBI6,22.29,Rodoviário,Normal,Estornado,
